Velocity_m_s,AoA_deg,CL,CD,CM,Status
15,-4,-0.08462199670822938,0.011569126483790526,0.0027484543142144635,OK
15,-2,-0.05691592905236911,0.00825649089027431,-0.0028316907930174572,OK
15,0,-0.0016806782394014961,0.0066316630748129695,-0.0028676542718204497,OK
15,2,0.05366712675810472,0.008553658845386537,-0.003829900029925185,OK
15,4,0.11112394114713207,0.012674633715710726,-0.004338972259351623,OK
15,6,0.17106985785536163,0.020032387082294274,-0.0033866240049875342,OK
15,8,0.24815696084788005,0.03293397453865336,0.00010153292620947633,OK
15,10,0.30279539301745645,0.04612733147132169,-0.001708946783042393,OK
15,11,0.3281321334164589,0.053926117306733135,-0.0035487744189526206,OK
15,12,0.36011635610972614,0.06294933895261844,-0.004275563690773064,OK
15,13,0.40063238977556104,0.07399594785536158,-0.004181658498753115,OK
15,14,0.4474365399002491,0.08682520902743134,-0.0042117670199501205,OK
15,15,0.5001063134663336,0.10146145336658355,-0.0038098283915212025,OK
15,16,0.5488168987531171,0.11675755037406485,-0.004168286905236911,OK
20,-4,-0.08533720600997499,0.010338947805486283,0.0033687796882793013,OK
20,-2,-0.054034892793017465,0.007041915408977552,-0.001978403795511223,OK
20,0,0.0020877266807980046,0.005465794685785534,-0.002230655488778055,OK
20,2,0.05466285276807978,0.00738924258104738,-0.003569137987531172,OK
20,4,0.11155245586034915,0.011491696433915219,-0.004337005079800501,OK
20,6,0.16422428902743139,0.0183652921446384,-0.004128962456359107,OK
20,8,0.23363966857855362,0.02994308082294259,-0.00330799846633416,OK
20,10,0.2915316945137156,0.0432293224937656,-0.0037942350673316706,OK
20,11,0.317884616458853,0.05097848922693267,-0.004802861675810474,OK
20,12,0.38236901421446384,0.0653955206733167,0.0006209440264339156,OK
20,13,0.4035209985037406,0.0733455656109726,-0.003460601144638407,OK
20,14,0.44959140698254413,0.0859419391770573,-0.003811620169576062,OK
20,15,0.5038967865336653,0.10087728029925187,-0.0030325346209476313,OK
20,16,0.5488382890274313,0.1153496132169575,-0.004567171022443891,OK
25,-4,-0.09155121266832918,0.009393587311720703,0.0019505985311720707,OK
25,-2,-0.049481983740648425,0.006085881558603492,-0.00149974240149626,OK
25,0,0.009908136945137156,0.00473772227680798,-0.0011132593640897762,OK
25,2,0.058417920349127225,0.006664492201995015,-0.0027582994713216975,OK
25,4,0.11450499800498769,0.010778297655860351,-0.003040365738154612,OK
25,6,0.17061810997506235,0.018223072269326672,-0.003786869835411474,OK
25,8,0.22705718304239414,0.02851568750623437,-0.0038758960049875336,OK
25,10,0.28332920872817974,0.04155979157107231,-0.004534861099750624,OK
25,11,0.3194616673316706,0.05043879004987533,-0.004757118443890276,OK
25,12,0.35484122643391547,0.05977614558603487,-0.004591744725685787,OK
25,13,0.41468816783042395,0.0743342666832918,-0.0010299409396508728,OK
25,14,0.4612264394014965,0.08724577246882798,-0.0012732966334164592,OK
25,15,0.508785523940149,0.10093898329177058,-0.002202002947630922,OK
25,16,0.558049571820449,0.11634626982543635,-0.0033903402817955105,OK
30,-4,-0.08067916124688276,0.00835524247381545,0.004208688670822943,OK
30,-2,-0.02441239568578552,0.004977804411471324,0.004035880426433913,OK
30,0,0.006801263788029926,0.004053837521197006,-0.0016476765361596018,OK
30,2,0.06594243960099747,0.0062408439875311725,-0.0009583268451371572,OK
30,4,0.11767956284289263,0.010349223167082304,-0.002389789114713219,OK
30,6,0.17567734588528683,0.0179583544638404,-0.002538593790523693,OK
30,8,0.2284155239401495,0.028022843192019954,-0.0033871121720698266,OK
30,10,0.2853906132169575,0.04126198940149625,-0.004094520680798008,OK
30,11,0.3288000740648381,0.051263692044887774,-0.0032718583566084787,OK
30,12,0.35860497855361595,0.059822954812967614,-0.003918101897755615,OK
30,13,0.4251258142144639,0.07552028967581048,0.0013023879201995007,OK
30,14,0.4693751211970075,0.08790384793017458,0.0010524173341645887,OK
30,15,0.513707082543641,0.10126994837905232,-0.0010809165423940146,OK
30,16,0.5556615860349129,0.11525572344139656,-0.00400285740648379,OK
35,-4,-0.10610961620947626,0.009004508850374066,-0.0009180008750623452,OK
35,-2,-0.03974313760598502,0.004766199857855361,0.00107320772319202,OK
35,0,0.003967984483790525,0.003497525134663343,-0.0018799252468827913,OK
35,2,0.07114766049875315,0.0057945753790523725,-0.0004956334221945136,OK
35,4,0.14101816733167075,0.010931081221945175,0.002354887471321695,OK
35,6,0.17830179825436396,0.017626796159600985,-0.0018173262219451363,OK
35,8,0.2238449743142146,0.02711289957605983,-0.004319370568578552,OK
35,10,0.28435005760598486,0.04064452251870327,-0.004220397054862842,OK
35,11,0.3305723633416458,0.05099270139650875,-0.0027568761645885296,OK
35,12,0.3577096635910223,0.0594288477805486,-0.004035335917705735,OK
35,13,0.3838442785536162,0.06794803483790524,-0.007013509062344137,OK
35,14,0.45137024912718177,0.08381269935162088,-0.00339175925436409,OK
35,15,0.5075371269326684,0.09962922167082292,-0.0024126826483790507,OK
35,16,0.5638192206982546,0.11644480723192027,-0.00219591106234414,OK
