15 -4 2000          	-3.207236e-03	1.271524e-02	-2.859901e-01	-1.462023e-01	-1.397878e-01
15 -2 2000          	-7.261954e-04	6.692730e-03	-1.295737e-01	-6.551302e-02	-6.406063e-02
15 0 2000          	-1.056000e-03	4.927110e-03	1.503430e-02	6.461147e-03	8.573148e-03
15 2 2000          	7.345000e-04	7.442360e-03	1.620274e-01	8.174818e-02	8.027918e-02
15 4 2000          	2.158651e-03	1.367892e-02	3.085893e-01	1.564533e-01	1.521360e-01
15 6 2000          	3.888255e-03	2.233436e-02	4.558147e-01	2.317956e-01	2.240191e-01
15 8 2000          	6.926344e-03	3.586862e-02	6.044966e-01	3.091746e-01	2.953219e-01
15 10 2000          	6.916061e-03	5.267121e-02	7.398232e-01	3.768276e-01	3.629955e-01
15 11 2000          	8.169949e-03	6.274503e-02	8.115534e-01	4.139467e-01	3.976068e-01
15 12 2000          	8.199974e-03	7.331226e-02	8.825794e-01	4.494897e-01	4.330897e-01
15 13 2000          	8.320309e-03	8.492687e-02	9.462289e-01	4.814347e-01	4.647941e-01
15 14 2000          	9.744785e-03	9.786195e-02	1.017960e+00	5.187250e-01	4.992354e-01
15 15 2000          	1.146685e-02	1.116418e-01	1.095278e+00	5.591060e-01	5.361723e-01
15 16 2000          	1.324032e-02	1.261379e-01	1.168506e+00	5.974933e-01	5.710127e-01
20 -4 2000          	-3.223408e-03	1.205589e-02	-2.852658e-01	-1.458563e-01	-1.394095e-01
20 -2 2000          	-1.724753e-03	6.089707e-03	-1.299505e-01	-6.669999e-02	-6.325048e-02
20 0 2000          	-4.250021e-04	4.375282e-03	1.904436e-02	9.097180e-03	9.947184e-03
20 2 2000          	1.231378e-03	6.352844e-03	1.665898e-01	8.452629e-02	8.206353e-02
20 4 2000          	2.172209e-03	1.266000e-02	3.070147e-01	1.556796e-01	1.513351e-01
20 6 2000          	4.375188e-03	2.148500e-02	4.580078e-01	2.333791e-01	2.246287e-01
20 8 2000          	5.929092e-03	3.496508e-02	6.003375e-01	3.060978e-01	2.942397e-01
20 10 2000          	7.257341e-03	5.193902e-02	7.437223e-01	3.791185e-01	3.646038e-01
20 11 2000          	8.730466e-03	6.194309e-02	8.135298e-01	4.154953e-01	3.980344e-01
20 12 2000          	7.023793e-03	7.205320e-02	8.769005e-01	4.454740e-01	4.314265e-01
20 13 2000          	8.090553e-03	8.369344e-02	9.487146e-01	4.824479e-01	4.662668e-01
20 14 2000          	1.052070e-02	9.725615e-02	1.024008e+00	5.225247e-01	5.014833e-01
20 15 2000          	1.071240e-02	1.100196e-01	1.091961e+00	5.566929e-01	5.352680e-01
20 16 2000          	1.416257e-02	1.265285e-01	1.171013e+00	5.996689e-01	5.713437e-01
25 -4 2000          	-1.947702e-03	1.145797e-02	-2.812549e-01	-1.425752e-01	-1.386798e-01
25 -2 2000          	-9.884742e-04	5.142383e-03	-1.298750e-01	-6.592598e-02	-6.394903e-02
25 0 2000          	3.084834e-04	3.941710e-03	1.796703e-02	9.291996e-03	8.675030e-03
25 2 2000          	1.437557e-03	5.905067e-03	1.643099e-01	8.359253e-02	8.071741e-02
25 4 2000          	3.795098e-03	1.193411e-02	3.141440e-01	1.608671e-01	1.532769e-01
25 6 2000          	4.608691e-03	2.088434e-02	4.611621e-01	2.351897e-01	2.259723e-01
25 8 2000          	6.966168e-03	3.450104e-02	6.050790e-01	3.095057e-01	2.955733e-01
25 10 2000          	7.804556e-03	5.102928e-02	7.453983e-01	3.805037e-01	3.648946e-01
25 11 2000          	7.401785e-03	6.077182e-02	8.137297e-01	4.142666e-01	3.994630e-01
25 12 2000          	9.615366e-03	7.215671e-02	8.878607e-01	4.535457e-01	4.343150e-01
25 13 2000          	9.197462e-03	8.319728e-02	9.542355e-01	4.863152e-01	4.679203e-01
25 14 2000          	1.046826e-02	9.623512e-02	1.023226e+00	5.220811e-01	5.011446e-01
25 15 2000          	1.139892e-02	1.096310e-01	1.097039e+00	5.599185e-01	5.371207e-01
25 16 2000          	1.331669e-02	1.243396e-01	1.168350e+00	5.974918e-01	5.708585e-01
